omg,A_omg
26.67452045477696,4.7636057440405165e-08
26.811913380666773,4.8102777859667545e-08
26.949537332093428,4.857846387882888e-08
27.087391454246116,4.9063207918434414e-08
27.225474895107006,4.9557104140182145e-08
27.36378680545136,5.0060248441018834e-08
27.502326338847787,5.057273844788616e-08
27.641092651658084,5.1094673512847957e-08
27.780084903037242,5.162615470875227e-08
27.919302254932987,5.216728482517335e-08
28.05874387208553,5.27181683647385e-08
28.198408922026672,5.327891153972993e-08
28.338296575079333,5.384962226896613e-08
28.478406004356614,5.4430410174919646e-08
28.618736385760705,5.502138658106227e-08
28.759286897981795,5.56226645094309e-08
28.900056722496785,5.623435867837387e-08
29.04104504356792,5.68565855004711e-08
29.182251048241227,5.748946308064476e-08
29.323673926344767,5.8133111214417114e-08
29.465312870487026,5.8787651386294764e-08
29.607167076054793,5.9453206768338044e-08
29.749235741211336,6.012990221876971e-08
29.891518066894037,6.081786428084081e-08
30.034013256812287,6.151722118167102e-08
30.176720517445034,6.222810283124659e-08
30.31963905803829,6.295064082154543e-08
30.462768090602523,6.368496842572368e-08
30.606106829909834,6.443122059732518e-08
30.74965449349132,6.518953396968286e-08
30.89341030163395,6.596004685525945e-08
31.037373477377628,6.67428992451982e-08
31.18154324651198,6.753823280875762e-08
31.325918837573127,6.834619089289689e-08
31.47049948184035,6.916691852191753e-08
31.61528441333256,7.000056239708271e-08
31.760272868804876,7.084727089630132e-08
31.905464087744832,7.170719407379199e-08
32.050857312368734,7.258048365985582e-08
32.19645178761786,7.346729306056715e-08
32.342246761154385,7.43677773575073e-08
32.48824148335751,7.528209330755269e-08
32.634435207319285,7.621039934253804e-08
32.780827188840476,7.715285556907022e-08
32.92741668642624,7.810962376824193e-08
33.0742029612818,7.908086739524218e-08
33.221185277307995,8.006675157917508e-08
33.36836290109676,8.106744312264235e-08
33.51573510192652,8.20831105013785e-08
33.663301151757565,8.311392386389422e-08
33.81106032522722,8.416005503101723e-08
33.95901189964508,8.522167749538449e-08
34.10715515498805,8.629896642100253e-08
34.25548937389546,8.739209864263497e-08
34.40401384166394,8.850125266492853e-08
34.55272784624238,8.962660866235252e-08
34.70163067822665,9.076834847781199e-08
34.850721630854466,9.192665562254052e-08
35.0,9.310171527431962e-08
